Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Traffic_Rank
www.delfi.ee,153330,625588,12,5,371,11,1,164,0.01152,0.012096,0.001085,0.001142,3.456,6660
www.swedbank.ee,95385,723015,0,0,42,0,0,0,0.006336,0.007555,0.001094,0.001373,6.72,8817
www.cv.ee,9528,50500,1,0,13,0,0,0,0.000439,0.000611,0.000093,0.000084,8.022,10904
www.okidoki.ee,39047,327998,0,0,134,0,0,0,0.003056,0.003171,0.000544,0.000669,6.7805,19254
www.auto24.ee,43189,647835,2,0,18,0,0,0,0.004489,0.003553,0.001509,0.001289,13.37,16080
www.ekool.eu,44930,135688,0,0,24,0,0,0,0.00382,0.003362,0.000267,0.000236,2.7695,25305
www.seti.ee,27005,183638,5,0,13,0,0,0,0.002292,0.002111,0.000401,0.000346,7.3535,30254
www.seb.ee,37865,98450,0,0,92,0,0,0,0.002101,0.002961,0.000143,0.000176,2.5785,29601
www.err.ee,37620,120384,0,16,123,2,0,0,0.002101,0.003018,0.000143,0.000215,2.5785,28014
www.luxexpress.eu,19301,71415,0,3,27,0,0,0,0.001433,0.001518,0.000134,0.000132,3.629,17676
www.telia.ee,25505,76516,0,0,15,0,0,0,0.001815,0.002034,0.000124,0.000139,2.865,41760
www.ohtuleht.ee,24654,103552,288,3,113,0,0,51,0.001433,0.001881,0.000153,0.000182,4.202,38342
www.eki.ee,19821,138748,1,0,6,0,0,0,0.001146,0.001347,0.000239,0.000224,7.9265,47668
www.tallinn.ee,20940,39788,1,0,4,2,0,0,0.001528,0.00169,0.000072,0.000083,1.8145,51684
www.optibet.ee,20040,28055,0,0,0,0,0,0,0.001815,0.0017,0.000055,0.00006,1.146,69355
www.kinozal.tv,615793,5486717,1,1520,330,1,1,32,0.05952,0.049344,0.013728,0.010944,8.736,1116
www.ut.ee,44164,167825,0,0,9,2,0,1,0.00382,0.003343,0.000334,0.000307,3.438,24431
www.blogspot.com.ee,19432,40808,0,0,0,0,0,0,0.001528,0.001538,0.000065,0.000074,1.8145,54100
www.gismeteo.ru,2736521,8209565,0,14,975,6,0,12,0.21216,0.216384,0.015648,0.015216,2.7648,388
www.neti.ee,20182,46420,56,0,202,3,0,3440,0.001528,0.00169,0.000074,0.000083,1.91,49369
www.socialplant.com,78993,276477,0,0,4,4,0,0,0.005921,0.003085,0.000497,0.000268,3.438,25937
www.google.com.et,383493,1353732,9,0,166,3,0,214,0.02976,0.02976,0.002726,0.00263,3.456,2471
www.ethiojobs.net,74284,475419,1,96,3940,377,0,0,0.006781,0.006074,0.000831,0.000852,5.157,11703
www.researchgate.net,3333052,7332715,0,0,8320,1600,0,13600,0.22944,0.26304,0.011808,0.013344,2.016,318
www.tubeunblock.me,64613,969202,0,0,29,0,0,0,0.005348,0.005396,0.001729,0.001786,13.37,24825
www.nih.gov,5112043,16665263,0,107000,125,96,0,22700,0.3216,0.42144,0.026208,0.031814,3.072,166
www.ethiopianreporter.com,33476,107122,0,26,32,0,0,0,0.003534,0.002817,0.00021,0.000235,2.483,26585
www.springer.com,1861951,4189390,0,11,1030,5,0,1,0.1344,0.14688,0.006883,0.007738,1.92,552
www.webcrawler.com,428223,805060,0,2,153,0,0,48400,0.03264,0.0336,0.00144,0.001459,1.632,2693
www.aau.edu.et,28906,86718,1,10,14,9,0,1,0.002292,0.002101,0.000134,0.000167,2.483,28894
www.sex.com,284358,3127941,222,369,808,183,0,49800,0.02592,0.021984,0.006528,0.005328,9.6,637
www.fanabc.com,38257,122425,1,61,8,0,0,0,0.003916,0.002961,0.000267,0.000215,2.865,25456
www.gursha.video,28906,130077,0,0,0,0,0,0,0.002006,0.002292,0.000229,0.000267,4.6795,32972
www.academia.edu,2115206,3722763,1,23200,1490,5080,1,5780,0.16608,0.16128,0.007229,0.006664,1.68,542
www.usp.ac.fj,25779,335139,0,6,59,6,0,117,0.00191,0.002149,0.000627,0.000633,14.325,26938
www.google.com.fj,N/A,N/A,6,0,36,0,0,95,0.000624,0.000697,0.000025,0.000032,1.512,109376
